,Dissections
Cluster239,"Human M1C: 9.99%,  Human MTG: 6.87%,  Human A29-A30: 5.09%,  Human A44-A45: 5.00%,  Human A25: 4.19%,  Human A40: 4.14%,  Human A46: 4.07%,  Human A13: 3.70%,  Human A5-A7: 3.50%,  Human A43: 3.48%,  Human ITG: 3.35%,  Human S1C: 3.35%,  Human A32: 2.99%,  Human A23: 2.86%,  Human A19: 2.60%,  Human V2: 2.57%,  Human A38: 2.52%,  Human TF: 2.19%,  Human Ig: 2.14%,  Human STG: 2.13%,  Human A1C: 2.11%,  Human FI: 2.08%,  Human V1C: 1.90%,  Human ACC: 1.90%,  Human Pro: 1.72%,  Human AON: 1.64%,  Human TH-TL: 1.52%,  Human MEC: 1.49%,  Human A14: 1.47%,  Human Idg: 1.44%,  Human Sub: 1.10%,  Human Pir: 0.62%,  Human A35-A36: 0.57%,  Human HTHso: 0.54%,  Human Cla: 0.52%,  Human BM: 0.43%,  Human SEP: 0.34%,  Human SI: 0.28%,  Human CEN: 0.28%,  Human LEC: 0.20%,  Human CA1-2R: 0.16%,  Human CA1U-CA2U-CA3U: 0.15%,  Human CoA: 0.11%,  Human LP: 0.11%,  Human CMN: 0.08%,  Human VA: 0.08%,  Human SC: 0.07%,  Human PAG-DR: 0.05%,  Human CA1C-CA3C: 0.03%,  Human NAC: 0.03%,  Human LG: 0.03%,  Human Pu: 0.03%,  Human MD-Re: 0.03%,  Human DGR-CA4Rpy: 0.03%,  Human La: 0.02%,  Human VLN: 0.02%,  Human MN: 0.02%,  Human CA1: 0.02%,  Human BNST: 0.02%,  Human MD: 0.02%,  Human ANC: 0.02%"
Cluster240,"Human M1C: 10.47%,  Human MTG: 7.61%,  Human A40: 5.05%,  Human A43: 4.67%,  Human A32: 4.45%,  Human A5-A7: 3.92%,  Human Idg: 3.77%,  Human A25: 3.39%,  Human A46: 3.39%,  Human ITG: 3.09%,  Human A38: 3.09%,  Human A44-A45: 3.09%,  Human A19: 3.01%,  Human A29-A30: 2.86%,  Human A23: 2.79%,  Human A1C: 2.56%,  Human TF: 2.41%,  Human S1C: 2.26%,  Human Ig: 2.19%,  Human V1C: 2.11%,  Human V2: 2.11%,  Human STG: 2.03%,  Human ACC: 2.03%,  Human FI: 1.81%,  Human A13: 1.81%,  Human TH-TL: 1.13%,  Human AON: 1.06%,  Human BM: 1.06%,  Human Pir: 0.90%,  Human Pro: 0.83%,  Human CA1U-CA2U-CA3U: 0.83%,  Human Cla: 0.83%,  Human Sub: 0.83%,  Human A14: 0.75%,  Human MEC: 0.75%,  Human A35-A36: 0.60%,  Human SEP: 0.60%,  Human CMN: 0.53%,  Human HTHso: 0.53%,  Human BL: 0.45%,  Human CEN: 0.38%,  Human CoA: 0.38%,  Human LEC: 0.30%,  Human La: 0.23%,  Human CA1R-CA2R-CA3R: 0.23%,  Human CA1C-CA3C: 0.15%,  Human CA1: 0.15%,  Human SN: 0.08%,  Human HTHpo-HTHso: 0.08%,  Human VLN: 0.08%,  Human Pu: 0.08%,  Human ETH: 0.08%,  Human DGR-CA4Rpy: 0.08%,  Human DGU-CA4Upy: 0.08%"
Cluster241,"Human MTG: 6.32%,  Human Idg: 6.00%,  Human M1C: 5.32%,  Human A40: 5.14%,  Human A43: 5.09%,  Human A38: 4.44%,  Human A25: 4.42%,  Human ACC: 3.73%,  Human ITG: 3.58%,  Human A44-A45: 3.46%,  Human A5-A7: 2.96%,  Human FI: 2.90%,  Human S1C: 2.76%,  Human TH-TL: 2.72%,  Human A46: 2.67%,  Human TF: 2.60%,  Human Ig: 2.51%,  Human A19: 2.38%,  Human A32: 2.36%,  Human A23: 2.29%,  Human Cla: 2.02%,  Human A13: 1.95%,  Human AON: 1.74%,  Human A35-A36: 1.70%,  Human LEC: 1.63%,  Human Pro: 1.47%,  Human A29-A30: 1.43%,  Human STG: 1.40%,  Human HTHso: 1.16%,  Human A1C: 1.15%,  Human Pir: 1.09%,  Human A14: 1.07%,  Human V2: 0.95%,  Human BM: 0.90%,  Human SEP: 0.77%,  Human CA1U-CA2U-CA3U: 0.77%,  Human Sub: 0.63%,  Human MEC: 0.57%,  Human BL: 0.48%,  Human SI: 0.47%,  Human V1C: 0.39%,  Human CoA: 0.34%,  Human CMN: 0.29%,  Human CA1R-CA2R-CA3R: 0.29%,  Human La: 0.27%,  Human CA1C-CA3C: 0.25%,  Human CA1-2R: 0.20%,  Human CA2U-CA3U: 0.16%,  Human CEN: 0.13%,  Human CA4C-DGC: 0.09%,  Human CA1: 0.09%,  Human Pu: 0.09%,  Human GPe: 0.05%,  Human MD: 0.05%,  Human BNST: 0.05%,  Human VA: 0.05%,  Human Pul: 0.04%,  Human NAC: 0.04%,  Human CaB: 0.02%,  Human HTHtub: 0.02%,  Human ANC: 0.02%,  Human HTHso-HTHtub: 0.02%,  Human SC: 0.02%,  Human PAG-DR: 0.02%,  Human MoAN: 0.02%"
Cluster242,"Human M1C: 6.78%,  Human MTG: 6.38%,  Human A32: 5.36%,  Human A29-A30: 5.05%,  Human A40: 4.84%,  Human A43: 4.30%,  Human A23: 4.24%,  Human Idg: 3.60%,  Human A5-A7: 3.44%,  Human S1C: 3.37%,  Human ITG: 3.28%,  Human A25: 3.18%,  Human A44-A45: 2.86%,  Human A13: 2.84%,  Human A38: 2.77%,  Human ACC: 2.65%,  Human A19: 2.63%,  Human A46: 2.54%,  Human TH-TL: 2.22%,  Human Ig: 2.21%,  Human FI: 1.98%,  Human STG: 1.89%,  Human TF: 1.89%,  Human AON: 1.75%,  Human A1C: 1.39%,  Human A35-A36: 1.30%,  Human V2: 1.28%,  Human Sub: 1.28%,  Human Cla: 1.11%,  Human A14: 1.08%,  Human Pro: 0.93%,  Human CA1C-CA3C: 0.81%,  Human V1C: 0.78%,  Human LEC: 0.77%,  Human HTHso: 0.74%,  Human CA1U-CA2U-CA3U: 0.72%,  Human Pir: 0.64%,  Human MEC: 0.58%,  Human CA1R-CA2R-CA3R: 0.57%,  Human BM: 0.49%,  Human SEP: 0.42%,  Human CA4C-DGC: 0.39%,  Human BL: 0.34%,  Human CMN: 0.33%,  Human CA1-2R: 0.28%,  Human SI: 0.22%,  Human CEN: 0.20%,  Human La: 0.18%,  Human CA1: 0.15%,  Human DGU-CA4Upy: 0.13%,  Human CoA: 0.12%,  Human CA2U-CA3U: 0.11%,  Human BNST: 0.08%,  Human PAG-DR: 0.08%,  Human CA3R: 0.06%,  Human DGR-CA4Rpy: 0.04%,  Human LP: 0.04%,  Human SC: 0.03%,  Human ETH: 0.03%,  Human GPe: 0.03%,  Human ANC: 0.03%,  Human DGR-CA4: 0.03%,  Human Pu: 0.03%,  Human HTHpo-HTHso: 0.02%,  Human Pul: 0.02%,  Human VA: 0.01%,  Human MD: 0.01%,  Human NAC: 0.01%,  Human MoAN: 0.01%,  Human HTHso-HTHtub: 0.01%,  Human MD-Re: 0.01%,  Human MoSR: 0.01%,  Human SN: 0.01%,  Human HTHtub: 0.01%,  Human VLN: 0.01%,  Human HTHma: 0.01%,  Human CM-Pf: 0.01%,  Human CbDN: 0.01%,  Human PB: 0.01%,  Human HTHpo: 0.01%"
Cluster243,"Human MTG: 8.23%,  Human A40: 5.86%,  Human STG: 4.51%,  Human M1C: 4.47%,  Human A5-A7: 4.35%,  Human A1C: 4.31%,  Human A29-A30: 4.25%,  Human Ig: 4.16%,  Human V2: 4.07%,  Human A44-A45: 3.72%,  Human A43: 3.62%,  Human A19: 3.52%,  Human ITG: 3.50%,  Human TF: 3.40%,  Human Pro: 3.18%,  Human S1C: 3.11%,  Human A23: 3.08%,  Human TH-TL: 3.02%,  Human V1C: 2.91%,  Human Idg: 2.60%,  Human A13: 2.42%,  Human A46: 2.29%,  Human A25: 2.12%,  Human A38: 2.06%,  Human A32: 1.75%,  Human A35-A36: 1.20%,  Human AON: 1.01%,  Human ACC: 0.98%,  Human Sub: 0.96%,  Human A14: 0.92%,  Human Cla: 0.87%,  Human FI: 0.81%,  Human BM: 0.69%,  Human Pir: 0.57%,  Human LEC: 0.27%,  Human CA1C-CA3C: 0.15%,  Human CA1U-CA2U-CA3U: 0.12%,  Human BL: 0.12%,  Human HTHso: 0.12%,  Human La: 0.11%,  Human SEP: 0.11%,  Human SI: 0.09%,  Human CA4C-DGC: 0.05%,  Human CA1R-CA2R-CA3R: 0.04%,  Human PAG-DR: 0.04%,  Human CA1-2R: 0.03%,  Human MEC: 0.02%,  Human CoA: 0.02%,  Human ETH: 0.02%,  Human CA3R: 0.02%,  Human CA2U-CA3U: 0.02%,  Human SC: 0.01%,  Human CA1: 0.01%,  Human DGU-CA4Upy: 0.01%,  Human BNST: 0.01%,  Human CM-Pf: 0.01%,  Human MoSR: 0.01%,  Human DGR-CA4Rpy: 0.01%,  Human CEN: 0.01%,  Human MD: 0.01%,  Human HTHma-HTHtub: 0.01%,  Human LG: 0.01%,  Human HTHpo-HTHso: 0.01%,  Human MN: 0.01%,  Human HTHso-HTHtub: 0.01%"
Cluster244,"Human MEC: 5.80%,  Human MTG: 5.46%,  Human LEC: 5.38%,  Human Pir: 5.12%,  Human La: 4.18%,  Human BL: 4.10%,  Human Idg: 3.67%,  Human A35-A36: 3.41%,  Human M1C: 3.33%,  Human A5-A7: 2.99%,  Human A40: 2.90%,  Human A43: 2.47%,  Human Ig: 2.47%,  Human A23: 2.47%,  Human A32: 2.22%,  Human A25: 2.22%,  Human AON: 2.05%,  Human A38: 1.96%,  Human FI: 1.88%,  Human ITG: 1.79%,  Human A13: 1.79%,  Human A29-A30: 1.79%,  Human Sub: 1.71%,  Human A1C: 1.71%,  Human ACC: 1.62%,  Human A44-A45: 1.62%,  Human TF: 1.62%,  Human A19: 1.62%,  Human CA1R-CA2R-CA3R: 1.54%,  Human A46: 1.54%,  Human BM: 1.45%,  Human CEN: 1.45%,  Human S1C: 1.37%,  Human CMN: 1.37%,  Human STG: 1.37%,  Human TH-TL: 1.28%,  Human CoA: 1.11%,  Human HTHso: 1.11%,  Human V2: 1.02%,  Human CA1U-CA2U-CA3U: 0.85%,  Human CA1C-CA3C: 0.85%,  Human CA1-2R: 0.77%,  Human Cla: 0.68%,  Human SEP: 0.51%,  Human Pro: 0.51%,  Human V1C: 0.51%,  Human A14: 0.43%,  Human CA1: 0.34%,  Human CA2U-CA3U: 0.26%,  Human CA3R: 0.09%,  Human CA4C-DGC: 0.09%,  Human SI: 0.09%,  Human Pu: 0.09%"
Cluster245,"Human CMN: 23.75%,  Human BL: 9.20%,  Human BM: 7.60%,  Human Pir: 7.34%,  Human A35-A36: 6.83%,  Human CEN: 5.81%,  Human CA1U-CA2U-CA3U: 5.56%,  Human LEC: 4.21%,  Human La: 2.75%,  Human MEC: 2.36%,  Human CA1C-CA3C: 2.30%,  Human CA1: 2.17%,  Human CA1R-CA2R-CA3R: 1.60%,  Human A38: 1.40%,  Human Idg: 1.28%,  Human ACC: 1.28%,  Human FI: 1.02%,  Human Sub: 0.89%,  Human Cla: 0.89%,  Human CoA: 0.89%,  Human CA1-2R: 0.77%,  Human A25: 0.77%,  Human CA3R: 0.70%,  Human MTG: 0.64%,  Human ANC: 0.64%,  Human BNST: 0.64%,  Human CA2U-CA3U: 0.57%,  Human TH-TL: 0.57%,  Human HTHso: 0.51%,  Human A43: 0.51%,  Human DGU-CA4Upy: 0.45%,  Human HTHpo-HTHso: 0.38%,  Human Ig: 0.38%,  Human ITG: 0.32%,  Human SI: 0.32%,  Human AON: 0.32%,  Human M1C: 0.32%,  Human A13: 0.26%,  Human TF: 0.26%,  Human CA4C-DGC: 0.19%,  Human A40: 0.19%,  Human A46: 0.13%,  Human A32: 0.13%,  Human A44-A45: 0.13%,  Human SEP: 0.13%,  Human A19: 0.13%,  Human A29-A30: 0.06%,  Human NAC: 0.06%,  Human SN: 0.06%,  Human V1C: 0.06%,  Human HTHtub: 0.06%,  Human A14: 0.06%,  Human A5-A7: 0.06%,  Human DGR-CA4Rpy: 0.06%"
Cluster246,"Human CA4C-DGC: 21.52%,  Human CA3R: 12.62%,  Human CA1C-CA3C: 9.48%,  Human CA1U-CA2U-CA3U: 6.14%,  Human MEC: 6.00%,  Human DGR-CA4Rpy: 5.95%,  Human Pir: 4.76%,  Human CMN: 4.05%,  Human CA1R-CA2R-CA3R: 3.76%,  Human DGU-CA4Upy: 3.24%,  Human LEC: 3.14%,  Human CA1: 2.57%,  Human DGR-CA4: 2.57%,  Human Sub: 2.33%,  Human CEN: 1.90%,  Human BL: 1.33%,  Human CA2U-CA3U: 1.24%,  Human A35-A36: 0.90%,  Human CA1-2R: 0.90%,  Human BM: 0.90%,  Human M1C: 0.81%,  Human SN: 0.81%,  Human HTHtub: 0.38%,  Human CoA: 0.38%,  Human La: 0.33%,  Human SEP: 0.33%,  Human TH-TL: 0.29%,  Human ACC: 0.19%,  Human ANC: 0.19%,  Human LG: 0.14%,  Human HTHso: 0.14%,  Human SI: 0.14%,  Human FI: 0.10%,  Human AON: 0.10%,  Human MN: 0.10%,  Human A29-A30: 0.10%,  Human Cla: 0.05%,  Human A25: 0.05%,  Human A32: 0.05%"
Cluster247,"Human CA1C-CA3C: 20.27%,  Human CA1U-CA2U-CA3U: 19.10%,  Human CA1: 16.58%,  Human CA1R-CA2R-CA3R: 14.14%,  Human CA4C-DGC: 5.05%,  Human CA1-2R: 4.14%,  Human Sub: 3.96%,  Human CMN: 3.60%,  Human CA3R: 3.06%,  Human M1C: 2.25%,  Human DGU-CA4Upy: 2.25%,  Human CA2U-CA3U: 1.98%,  Human DGR-CA4Rpy: 0.45%,  Human CEN: 0.45%,  Human Pir: 0.45%,  Human BL: 0.36%,  Human MEC: 0.36%,  Human SI: 0.27%,  Human Cla: 0.27%,  Human BM: 0.18%,  Human ANC: 0.09%,  Human BNST: 0.09%,  Human CaB: 0.09%,  Human CoA: 0.09%,  Human A35-A36: 0.09%,  Human A25: 0.09%,  Human TF: 0.09%,  Human TH-TL: 0.09%,  Human Pu: 0.09%"
Cluster248,"Human V1C: 11.16%,  Human M1C: 10.06%,  Human MTG: 4.42%,  Human CA1R-CA2R-CA3R: 3.23%,  Human Idg: 3.16%,  Human FI: 3.16%,  Human S1C: 3.12%,  Human A38: 3.00%,  Human Pro: 2.72%,  Human TF: 2.60%,  Human LEC: 2.49%,  Human CA1U-CA2U-CA3U: 2.49%,  Human TH-TL: 2.41%,  Human A43: 2.37%,  Human Ig: 2.21%,  Human A44-A45: 1.93%,  Human A25: 1.93%,  Human A40: 1.85%,  Human Pir: 1.81%,  Human ACC: 1.74%,  Human A1C: 1.74%,  Human A23: 1.74%,  Human CA1C-CA3C: 1.70%,  Human MEC: 1.66%,  Human Sub: 1.54%,  Human A5-A7: 1.50%,  Human Cla: 1.50%,  Human CEN: 1.50%,  Human BM: 1.34%,  Human CA1-2R: 1.30%,  Human A46: 1.26%,  Human ITG: 1.22%,  Human CA1: 1.14%,  Human A19: 1.14%,  Human A13: 1.14%,  Human A35-A36: 1.07%,  Human STG: 1.03%,  Human AON: 1.03%,  Human CMN: 0.95%,  Human HTHso: 0.95%,  Human V2: 0.75%,  Human A29-A30: 0.71%,  Human SEP: 0.59%,  Human BL: 0.47%,  Human A14: 0.47%,  Human CA2U-CA3U: 0.43%,  Human SI: 0.43%,  Human La: 0.39%,  Human CoA: 0.32%,  Human A32: 0.20%,  Human DGU-CA4Upy: 0.20%,  Human CA4C-DGC: 0.20%,  Human LG: 0.16%,  Human DGR-CA4Rpy: 0.16%,  Human BNST: 0.08%,  Human CA3R: 0.08%,  Human HTHpo: 0.08%"
Cluster249,"Human MEC: 10.22%,  Human LEC: 7.83%,  Human CA1C-CA3C: 6.12%,  Human FI: 5.33%,  Human Pir: 4.71%,  Human CA1U-CA2U-CA3U: 4.54%,  Human CA1R-CA2R-CA3R: 3.97%,  Human M1C: 3.25%,  Human A38: 3.16%,  Human Idg: 3.14%,  Human A25: 2.78%,  Human ACC: 2.61%,  Human Sub: 2.23%,  Human MTG: 2.22%,  Human AON: 2.11%,  Human CEN: 2.10%,  Human BL: 1.92%,  Human CMN: 1.82%,  Human CA4C-DGC: 1.67%,  Human La: 1.60%,  Human TH-TL: 1.55%,  Human A35-A36: 1.51%,  Human BM: 1.48%,  Human A43: 1.46%,  Human Cla: 1.37%,  Human HTHso: 1.36%,  Human DGU-CA4Upy: 1.25%,  Human CA1-2R: 1.10%,  Human CoA: 1.05%,  Human Ig: 1.03%,  Human A32: 0.94%,  Human CA1: 0.91%,  Human SEP: 0.88%,  Human ITG: 0.84%,  Human A13: 0.76%,  Human TF: 0.76%,  Human S1C: 0.74%,  Human CA2U-CA3U: 0.70%,  Human SI: 0.64%,  Human A40: 0.60%,  Human CA3R: 0.60%,  Human A46: 0.55%,  Human A44-A45: 0.52%,  Human A29-A30: 0.45%,  Human A14: 0.43%,  Human A19: 0.43%,  Human A5-A7: 0.41%,  Human A23: 0.34%,  Human Pro: 0.31%,  Human V2: 0.26%,  Human STG: 0.26%,  Human A1C: 0.24%,  Human BNST: 0.22%,  Human DGR-CA4Rpy: 0.17%,  Human GPe: 0.10%,  Human V1C: 0.09%,  Human Pu: 0.07%,  Human HTHpo: 0.05%,  Human NAC: 0.05%,  Human HTHpo-HTHso: 0.05%,  Human HTHso-HTHtub: 0.03%,  Human SC: 0.03%,  Human PAG-DR: 0.03%,  Human VA: 0.02%,  Human SN: 0.02%,  Human DGR-CA4: 0.02%"
Cluster250,"Human MEC: 7.10%,  Human M1C: 7.01%,  Human MTG: 5.65%,  Human A40: 3.81%,  Human A43: 3.54%,  Human S1C: 3.37%,  Human A25: 3.29%,  Human A5-A7: 3.27%,  Human A46: 3.15%,  Human A44-A45: 3.11%,  Human ACC: 3.07%,  Human Idg: 2.81%,  Human TH-TL: 2.78%,  Human A29-A30: 2.76%,  Human A38: 2.63%,  Human FI: 2.62%,  Human Ig: 2.56%,  Human A32: 2.46%,  Human A23: 2.45%,  Human A1C: 2.44%,  Human A13: 2.37%,  Human ITG: 2.35%,  Human STG: 2.29%,  Human TF: 2.07%,  Human A19: 2.00%,  Human V2: 1.96%,  Human LEC: 1.76%,  Human Pro: 1.75%,  Human V1C: 1.69%,  Human Sub: 1.51%,  Human AON: 1.36%,  Human Cla: 1.34%,  Human A14: 1.16%,  Human Pir: 1.04%,  Human A35-A36: 0.81%,  Human BM: 0.63%,  Human HTHso: 0.57%,  Human SEP: 0.57%,  Human CEN: 0.54%,  Human CA1U-CA2U-CA3U: 0.36%,  Human La: 0.33%,  Human SI: 0.23%,  Human BL: 0.20%,  Human CoA: 0.18%,  Human CA1: 0.13%,  Human CA1C-CA3C: 0.13%,  Human CA1-2R: 0.11%,  Human SC: 0.10%,  Human CMN: 0.09%,  Human CA4C-DGC: 0.07%,  Human Pu: 0.07%,  Human CA1R-CA2R-CA3R: 0.05%,  Human LP: 0.04%,  Human DGU-CA4Upy: 0.03%,  Human LG: 0.02%,  Human BNST: 0.02%,  Human HTHtub: 0.02%,  Human PAG-DR: 0.02%,  Human ETH: 0.02%,  Human DGR-CA4Rpy: 0.01%,  Human GPe: 0.01%,  Human VA: 0.01%,  Human VPL: 0.01%,  Human IC: 0.01%,  Human CA2U-CA3U: 0.01%,  Human CA3R: 0.01%,  Human Pul: 0.01%,  Human VLN: 0.01%,  Human SN: 0.01%"
Cluster251,"Human MTG: 6.63%,  Human A29-A30: 5.64%,  Human M1C: 4.61%,  Human A40: 4.37%,  Human TF: 4.26%,  Human TH-TL: 3.74%,  Human A5-A7: 3.68%,  Human A1C: 3.61%,  Human A43: 3.53%,  Human S1C: 3.39%,  Human A44-A45: 3.35%,  Human STG: 3.22%,  Human A46: 3.21%,  Human A23: 3.18%,  Human A25: 3.07%,  Human Ig: 3.05%,  Human A19: 3.03%,  Human V2: 2.80%,  Human ITG: 2.69%,  Human A38: 2.67%,  Human Idg: 2.41%,  Human ACC: 2.38%,  Human Pro: 2.35%,  Human FI: 2.31%,  Human A13: 2.24%,  Human Sub: 2.07%,  Human A32: 1.85%,  Human Cla: 1.62%,  Human V1C: 1.47%,  Human A14: 1.23%,  Human AON: 1.01%,  Human LEC: 0.97%,  Human A35-A36: 0.93%,  Human Pir: 0.73%,  Human SEP: 0.45%,  Human MEC: 0.43%,  Human BM: 0.32%,  Human CEN: 0.23%,  Human SI: 0.23%,  Human HTHso: 0.17%,  Human CA1U-CA2U-CA3U: 0.16%,  Human La: 0.16%,  Human CA1R-CA2R-CA3R: 0.07%,  Human DGU-CA4Upy: 0.05%,  Human CoA: 0.05%,  Human Pu: 0.04%,  Human LP: 0.04%,  Human CaB: 0.03%,  Human CA4C-DGC: 0.03%,  Human CA1C-CA3C: 0.03%,  Human CA1-2R: 0.02%,  Human CA1: 0.02%,  Human BL: 0.02%,  Human VA: 0.02%,  Human BNST: 0.02%,  Human LG: 0.01%,  Human CMN: 0.01%,  Human ANC: 0.01%,  Human Pul: 0.01%,  Human CA3R: 0.01%,  Human SC: 0.01%,  Human CM-Pf: 0.01%,  Human MD: 0.01%,  Human NAC: 0.01%,  Human MoAN: 0.01%,  Human ETH: 0.01%,  Human VLN: 0.01%"
Cluster252,"Human M1C: 11.72%,  Human MTG: 6.10%,  Human S1C: 4.30%,  Human A29-A30: 3.60%,  Human A25: 3.36%,  Human A43: 3.06%,  Human A38: 3.05%,  Human FI: 3.01%,  Human TH-TL: 2.96%,  Human A44-A45: 2.85%,  Human TF: 2.66%,  Human ACC: 2.57%,  Human A23: 2.54%,  Human A46: 2.38%,  Human ITG: 2.32%,  Human A40: 2.32%,  Human Idg: 2.21%,  Human Ig: 2.17%,  Human A1C: 2.05%,  Human Cla: 2.03%,  Human A5-A7: 1.99%,  Human Sub: 1.97%,  Human A13: 1.92%,  Human Pro: 1.80%,  Human V2: 1.77%,  Human A19: 1.71%,  Human STG: 1.70%,  Human AON: 1.62%,  Human CA1C-CA3C: 1.59%,  Human LEC: 1.48%,  Human A32: 1.29%,  Human CA1R-CA2R-CA3R: 1.23%,  Human CA1U-CA2U-CA3U: 1.21%,  Human A14: 1.17%,  Human V1C: 1.16%,  Human MEC: 1.13%,  Human Pir: 1.00%,  Human SEP: 0.98%,  Human A35-A36: 0.86%,  Human BM: 0.67%,  Human CEN: 0.65%,  Human CA4C-DGC: 0.61%,  Human CA1: 0.49%,  Human HTHso: 0.42%,  Human La: 0.41%,  Human SI: 0.32%,  Human CA1-2R: 0.30%,  Human DGU-CA4Upy: 0.27%,  Human Pu: 0.16%,  Human CA2U-CA3U: 0.14%,  Human CMN: 0.14%,  Human CA3R: 0.12%,  Human CoA: 0.09%,  Human BNST: 0.05%,  Human BL: 0.04%,  Human GPe: 0.04%,  Human SC: 0.03%,  Human HTHpo: 0.02%,  Human CaB: 0.02%,  Human ANC: 0.02%,  Human VA: 0.02%,  Human Pul: 0.02%,  Human NAC: 0.02%,  Human CM-Pf: 0.01%,  Human DGR-CA4: 0.01%,  Human DGR-CA4Rpy: 0.01%,  Human MD-Re: 0.01%,  Human HTHma: 0.01%,  Human HTHpo-HTHso: 0.01%,  Human SN: 0.01%,  Human LP: 0.01%"
Cluster253,"Human M1C: 8.29%,  Human FI: 6.33%,  Human MTG: 5.35%,  Human A25: 4.33%,  Human Cla: 3.77%,  Human A13: 3.38%,  Human ACC: 3.24%,  Human A43: 3.17%,  Human A38: 3.09%,  Human CEN: 2.95%,  Human Idg: 2.75%,  Human Ig: 2.65%,  Human S1C: 2.52%,  Human TF: 2.45%,  Human Pir: 2.40%,  Human AON: 2.37%,  Human TH-TL: 2.31%,  Human A44-A45: 2.26%,  Human A23: 2.16%,  Human A46: 2.05%,  Human La: 1.86%,  Human A5-A7: 1.77%,  Human A29-A30: 1.75%,  Human ITG: 1.72%,  Human A40: 1.67%,  Human A1C: 1.65%,  Human Pro: 1.46%,  Human MEC: 1.46%,  Human LEC: 1.35%,  Human SEP: 1.33%,  Human A14: 1.33%,  Human Sub: 1.26%,  Human A19: 1.26%,  Human STG: 1.19%,  Human BM: 0.96%,  Human A32: 0.95%,  Human V2: 0.93%,  Human BL: 0.91%,  Human CMN: 0.84%,  Human V1C: 0.79%,  Human SI: 0.75%,  Human CA1U-CA2U-CA3U: 0.72%,  Human CoA: 0.72%,  Human CA1R-CA2R-CA3R: 0.70%,  Human A35-A36: 0.67%,  Human CA1C-CA3C: 0.65%,  Human HTHso: 0.30%,  Human CA1: 0.28%,  Human CA4C-DGC: 0.23%,  Human Pu: 0.19%,  Human CA2U-CA3U: 0.12%,  Human BNST: 0.12%,  Human CA1-2R: 0.09%,  Human NAC: 0.05%,  Human DGU-CA4Upy: 0.05%,  Human SN: 0.02%,  Human SC: 0.02%,  Human HTHpo: 0.02%,  Human ANC: 0.02%"
Cluster254,"Human M1C: 8.29%,  Human MTG: 6.22%,  Human MEC: 4.62%,  Human Sub: 3.33%,  Human FI: 3.26%,  Human A29-A30: 3.22%,  Human S1C: 3.20%,  Human CA1U-CA2U-CA3U: 2.90%,  Human A25: 2.90%,  Human A23: 2.81%,  Human Cla: 2.65%,  Human A44-A45: 2.56%,  Human A43: 2.51%,  Human A38: 2.45%,  Human ACC: 2.32%,  Human A46: 2.25%,  Human CA1R-CA2R-CA3R: 2.22%,  Human A13: 2.19%,  Human TF: 2.19%,  Human TH-TL: 2.19%,  Human A40: 2.16%,  Human CA1C-CA3C: 2.04%,  Human A1C: 1.99%,  Human Ig: 1.98%,  Human Pro: 1.95%,  Human Idg: 1.92%,  Human CEN: 1.87%,  Human STG: 1.78%,  Human LEC: 1.76%,  Human ITG: 1.64%,  Human A19: 1.46%,  Human A5-A7: 1.42%,  Human V2: 1.37%,  Human V1C: 1.23%,  Human Pir: 1.21%,  Human AON: 1.05%,  Human SEP: 0.89%,  Human La: 0.72%,  Human BM: 0.70%,  Human A14: 0.70%,  Human CMN: 0.64%,  Human CA1: 0.61%,  Human CA4C-DGC: 0.60%,  Human CA1-2R: 0.57%,  Human A32: 0.57%,  Human A35-A36: 0.54%,  Human CA2U-CA3U: 0.37%,  Human BL: 0.29%,  Human HTHso: 0.29%,  Human SI: 0.28%,  Human DGU-CA4Upy: 0.28%,  Human CoA: 0.19%,  Human Pu: 0.17%,  Human SC: 0.11%,  Human BNST: 0.08%,  Human DGR-CA4Rpy: 0.07%,  Human CA3R: 0.05%,  Human CaB: 0.03%,  Human ANC: 0.03%,  Human NAC: 0.01%,  Human MN: 0.01%,  Human CM-Pf: 0.01%,  Human HTHso-HTHtub: 0.01%,  Human SN: 0.01%,  Human GPe: 0.01%,  Human HTHpo: 0.01%,  Human ETH: 0.01%"
